Station_Id,Station_Name,,Latitude,Longitude,Municipality,State_Province,Country,District,TimeZone_LongName,TimeZone_Code,TimeZone_Offset,Station_Location,Station_Type,Station_WFElevation,Station_FirstDate,Station_WFElevation2,,
36,Grove City,XGRV,26.90134,-82.31451,Englewood,FL,US,Charlotte County,America/New_York,EST,-5,Multi Use Tower,HurrNet,11,2007-04-07 3:14,65,,0
37,Belleair Inland,XBLA,27.93865,-82.79606,Largo,FL,US,Pinellas County,America/New_York,EST,-5,Multi Use Tower,HurrNet,49,2007-04-03 19:51,70,,0
105,North Miami-Inland,XNMI,25.90916,-80.16046,North Miami,FL,US,Miami-Dade County,America/New_York,EST,-5,Multi Use Tower,HurrNet,10,2007-04-11 1:23,55,,0
110,Boca Raton,XBOC,26.37142,-80.08525,Boca Raton,FL,USA,Palm Beach County,America/New_York,EST,-5,Multi Use Tower,HurrNet,5,2007-04-18 11:52,70,,0
195,Turkey Point,XTKY,25.4339,-80.34536,Homestead,FL,US,Miami-Dade County,America/New_York,EST,-5,Multi Use Tower,HurrNet,3,2007-04-09 12:28,65,,0
330,Chatham-Harding,XCHT,41.65841,-69.98447,Chatham,MA,US,Barnstable County,America/New_York,EST,-5,Navigation Aid,Professional,1,1987-04-02 12:00,30,,0
331,Duxbury,XDUX,42.0556,-70.64605,Duxbury,MA,US,Plymouth,America/New_York,EST,-5,Tripod on 2nd story roof,Professional,27,2010-03-08 14:00,40,,0
332,Kalmus,XKAL,41.63494,-70.27695,Barnstable,MA,US,Barnstable County,America/New_York,EST,-5,,Professional,7,1987-09-04 15:00,33,,0
333,Ned's Point,NED,41.65204,-70.77941,Mattapoisett,MA,US,Plymouth County,America/New_York,EST,-5,House,Professional,4,1990-08-02 12:00,22,,0
334,West Dennis,XWDN,41.65236,-70.16572,Dennis,MA,US,Barnstable County,America/New_York,EST,-5,,Professional,7,1999-08-01 4:50,44,,0
335,West Falmouth,XWFL,41.59723,-70.64795,Falmouth,MA,US,Barnstable County,America/New_York,EST,-5,Open-Air Beach House,Professional,9,1987-04-01 5:00,34,,0
336,Chapin,XCHP,41.72928,-70.23339,Dennis,MA,US,Barnstable County,America/New_York,EST,-5,30' wooden pole,Professional,4,1987-04-02 5:00,31,,0
338,Point Lookout,XPTL,38.0412,-76.32256,Lexington Park,MD,US,Saint Mary's County,America/New_York,EST,-5,telephone pole,Professional,0,2009-01-15 5:00,37,,0
339,Mason Neck- Station Moved,POT,38.64419,-77.19889,Lorton,VA,US,Fairfax County,America/New_York,EST,-5,,Professional,26,1990-04-11 16:05,34,,0
340,Ocean City,XOCN,38.32699,-75.08321,Ocean City,MD,US,Worcester County,America/New_York,EST,-5,Pier,Professional,0,1990-08-13 21:00,34,,0
341,Sandy Point,XSPT,39.0114,-76.39825,Annapolis,MD,US,Anne Arundel County,America/New_York,EST,-5,,Professional,7,1990-08-20 18:00,37,,0
342,Kent Island,XKNT,38.91826,-76.36443,Stevensville,MD,US,Queen Anne's County,America/New_York,EST,-5,Pier,Professional,0,1990-09-14 11:00,16,,0
343,Lewes YC,XLEW,38.78906,-75.15821,Lewes,DE,US,Sussex County,America/New_York,EST,-5,building,Professional,9,1990-08-11 13:00,49,,0
344,Dewey Beach,XDEW,38.68134,-75.07507,Rehoboth Beach,DE,US,Sussex County,America/New_York,EST,-5,,Professional,12,1990-07-24 11:00,35,,0
345,Hart/Miller,XHRT,39.25277,-76.37111,Essex,MD,US,Baltimore County,America/New_York,EST,-5,,Professional,0,1991-07-22 14:00,60,,0
346,Trixies,XTRX,39.87393,-74.13733,Berkeley Township,NJ,US,Ocean County,America/New_York,EST,-5,Wooden Pole,Professional,0,1987-05-04 4:00,28.5,,0
347,Brant Beach,,39.6,-74.21,,NJ,,,America/New_York,EST,-5,,,16,,,,0
348,Lake Nockamixon,XNOX,40.46694,-75.22249,Quakertown,PA,US,Bucks,America/New_York,EST,-5,,Professional,383,1993-05-09 4:40,23,,0
349,Marsh Creek,XMAR,40.06693,-75.72088,Downingtown,PA,US,Chester County,America/New_York,EST,-5,Building,Professional,356,2015-06-24 19:00,25,,0
350,Seaside Heights,XSEA,39.93996,-74.07075,Seaside Heights,NJ,US,Ocean County,America/New_York,EST,-5,Office Building,Professional,16,1999-11-11 16:00,45,,0
352,Sandy Hook,SAN,40.42469,-73.98437,Highlands,NJ,US,Monmouth County,America/New_York,EST,-5,Building,Professional,8,1987-04-13 16:00,58,,0
353,Eastern Point,EPT,42.58023,-70.66447,,MA,,,America/New_York,EST,-5,,,50,1999-03-04 19:00,45,,0
354,Indian Lake,,42.2988,-71.8117,,MA,,,America/New_York,EST,-5,,,7,,,,0
355,Nahant,,42.43704,-70.9303,,MA,,,America/New_York,EST,-5,,,,,,,0
356,Plum Island,XPLM,42.81002,-70.82071,Newburyport,MA,US,Essex County,America/New_York,EST,-5,15' mast on top of house,Professional,0,2010-03-09 11:00,54,,0
357,Lake Quannapowitt,XQUA,42.50642,-71.0775,Wakefield,MA,US,Middlesex County,America/New_York,EST,-5,wooden light pole,Professional,83,1987-04-01 5:00,47,,0
358,Hull YC,XHUL,42.30657,-70.89252,Hull,MA,US,Plymouth County,America/New_York,EST,-5,,Professional,11,1987-04-01 5:00,39,,0
359,Pine Point,XPIN,43.54126,-70.33438,Scarborough,ME,US,Cumberland County,America/New_York,EST,-5,House,Professional,2,1990-04-19 18:00,23,,0
360,Sandbar,,44.6251,-73.2388,,VT,,,America/New_York,EST,-5,,,,,,,0
361,White's Beach,XWHT,44.62269,-73.32568,South Hero,VT,United States,,America/New_York,EST,-5,House,Professional,104,1997-06-01 22:00,33,,0
362,Napeague,XNAP,41.00605,-72.05808,Halesite,NY,US,Suffolk County,America/New_York,EST,-5,House,Professional,3,1991-07-22 4:00,32,,0
363,Croton,XCRO,41.19803,-73.88815,Croton-on-Hudson,NY,US,Westchester County,America/New_York,EST,-5,Chimney,Professional,9,1988-03-24 5:00,45,,0
365,Sinai Harbor,XSIN,40.9639,-73.03736,Mount Sinai,NY,US,Suffolk County,America/New_York,EST,-5,Tripod on flat rooftop,Professional,4,1996-05-15 4:00,23,,0
366,Great South Bay,XHCK,40.65798,-73.40451,Amityville,NY,US,Suffolk County,America/New_York,EST,-5,tripod on private home,Professional,16,1990-03-07 2:00,37,,0
368,Hamburg,XHBG,42.77527,-78.86257,Buffalo,NY,US,Erie County,America/New_York,EST,-5,vent pipe on roof,Professional,570,1989-06-28 22:00,29,,0
370,Seneca,XSEN,42.86909,-76.97754,Geneva,NY,US,Ontario County,America/New_York,EST,-5,wooden light pole,Professional,448,1991-05-07 22:00,35,,0
371,J Maloney Cherry Beach,XCHR,43.63652,-79.34389,Toronto,ON,CA,Toronto Division,America/New_York,EST,-5,,Professional,246,2011-03-20 4:00,37,,0
372,Crystal Beach,CRY,42.86047,-79.05659,Fort Erie,ON,CA,Regional Municipality of Niagara,America/New_York,EST,-5,Tripod on flat rooftop,Professional,597,1993-05-24 18:00,47,,0
373,Frenchman's Bay,XFRN,43.81059,-79.08561,Pickering,ON,CA,Durham Regional Municipality,America/New_York,EST,-5,,Professional,243,1993-05-06 4:15,30,,0
374,Hamilton Harbour,XHAR,43.30089,-79.80307,Burlington,ON,CA,Halton Regional Municipality,America/New_York,EST,-5,,Professional,290,1993-06-24 17:15,36,,0
375,Keswick,XKES,44.20579,-79.4792,Georgina,ON,CA,York Region,America/New_York,EST,-5,,Professional,712,1993-05-19 13:35,27,,0
376,Kingston,XKNG,44.22226,-76.48661,Kingston,ON,CA,,America/New_York,EST,-5,Boat Crane,Professional,246,1995-11-19 5:00,35,,0
377,Minet's Point,XMIN,44.3764,-79.66803,,ON,,,America/New_York,EST,-5,,Professional,726,1993-06-03 19:25,21.5,,0
378,Sunset Point,XSUN,44.50766,-80.20132,Collingwood,ON,Canada,,America/New_York,EST,-5,,Professional,580,1993-05-06 19:10,23,,0
379,Turkey Point,XTUR,42.66569,-80.33175,Turkey Point,ON,CA,Norfolk County,America/New_York,EST,-5,,Professional,568,1998-06-01 4:50,28,,0
381,Rondeau Bay,XRON,42.32632,-81.84771,Morpeth,ON,Canada,,America/New_York,EST,-5,,Professional,568,1993-06-06 0:15,20,,0
383,Sauble Beach,XSAB,44.64781,-81.27131,Sauble Beach,ON,CA,,America/New_York,EST,-5,Tripod on roof,Professional,588,1993-05-20 20:50,30,,0
384,Ninigret Pond,XNIN,41.34294,-71.69267,Quonochontaug,RI,US,Washington County,America/New_York,EST,-5,Two-Story Wood Frame,Professional,46,2007-09-18 0:00,35.5,,0
385,Upper West,,41.669,-71.382,,RI,,,America/New_York,EST,-5,,,,,,,0
386,Fogland,XFOG,41.56022,-71.21981,Tiverton,RI,US,Newport County,America/New_York,EST,-5,House,Professional,25,1989-05-01 23:00,40,,0
