Spot ID,Name,Latitude,Longitude
44566,Horn Island Airport,-10.58,142.29
45142,Christmas Island,-10.45,105.69
45343,McCluer Island,-11.05,132.98
45347,Point Fawcett,-11.76,130.03
45356,Ngayawili-Elcho Island,-12.0,135.57
45359,Warruwi,-11.65,133.38
91471,Cape Wessel,-11.0,136.76
100656,Croker Island Airport,-11.16,132.48
17073,Aracaju,-10.98,-37.07
19099,Mtwara HTMT,-10.27,40.18
52815,Niulakita,-10.75,179.5
62891,Mtwara,-10.26667,40.18333
62934,Cape Wessel,-11.0045,136.7588
62962,Kupang,-10.16667,123.66667
63687,Horn Island Airport,-10.58639,142.29
70030,McCluer Is.,-11.0468,132.9791
63044,Rote,-10.73333,123.06667
16901,Tres Puentres,-11.03,-68.78
16907,San Vicente,-11.0,-66.12
69517,Mansa,-11.1,28.85
44564,Coconut Island,-10.05,143.07
17539,HTSO songea,-10.68,35.58
20072,Palmas,-10.28,-48.37
30852,FZQA lubumbashi-luano,-11.67,27.48
63045,Savu,-10.5,121.83333
69518,Kasama,-10.21667,31.13333
45346,Pirlangimpi,-11.4,130.42
17058,Rio Branco,-10.0,-67.8
47056,SBGM,-10.78,-65.28
62890,Songea,-10.68333,35.58333
63115,Lubumbashi International Airport,-11.66667,27.48333
66438,Santa Cruz Islands,-10.7,165.8
69162,Cobija,-11.04044,-68.78297
69170,Riberalta,-11.00638,-66.07587
70730,Luena Airport,-11.78333,19.91667
159306,FNUE,-11.76,19.89
100657,Murganella Airstrip,-11.55,132.93
63097,Agalega,-10.38333,56.6
65742,Manihiki Aws,-10.43333,-161.01667
68563,Cipo,-11.08333,-38.51667
69217,Porto Nacional,-10.71667,-48.58333
69519,Mpika,-11.8992,31.4347
69872,Atalaya,-10.72912,-73.7665
70258,Isoka,-10.11667,32.63333
71859,Mzuzu,-11.44475,34.01178
71991,Mzimba,-11.88333,33.61667
72066,Manuel Prado Ugarteche Airport,-11.32541,-74.53564
72381,Nkhata Bay,-11.6,34.3
72966,Misamfu,-10.1,31.25
86853,Bolero,-10.96667,33.73333
95628,SPMF,-11.33,-74.54
116893,Manihiki Island Airport,-10.37447,-161.00335
159326,NCMH,-10.38,-161.0
169546,FUNGURUME FZ FZ SUPERAWOS,-10.53,26.3264
33775,Ancon,-11.7565,-77.20029
33785,Paraiso,-11.20209,-77.61887
34216,"Christmas Island, Australia",-10.39253,105.75834
34557,Bahia Salinas,-11.19758,-77.60858
34558,Bermejo,-10.55756,-77.92054
34560,Centinela,-11.06062,-77.64258
53801,Fatu Hiva-Marquesas,-10.44439,-138.55988
93010,Christmas Island Aerodr,-10.4528,105.6875
93027,El Tari,-10.17158,123.67114
190828,Eastern Fields,-10.06667,145.72778
