Spot ID,Name,Latitude,Longitude
641671,Santa Marianata,-0.98399,-80.84521
16922,Manta Airport,-0.952,-80.684
16451,Val de Cães,-1.38,-48.48
17537,HTMU musoma,-1.5,33.8
18935,Nairobi,-1.32,36.92
46810,HRYR,-1.97,30.12
48899,HKNW,-1.32,36.82
49510,Garissa,-0.4686,39.649
51943,23003,-1.521,80.515
51947,51011,-0.179,-124.391
51976,51022,-1.972,-154.99699
52047,51010,-0.022,-170.04601
52610,Mid-Atlantic Buoy 31007 Jazz,-0.02,-22.995
53996,32321,-0.006,-94.984
62950,Palu/mutiara,-0.68333,119.73333
63200,San Cristobal Island,-0.91021,-89.61745
63206,Rumipamba,-1.016,-78.583
63220,Latacunga,-0.90683,-78.61576
63225,Riobamba,-1.65343,-78.65614
68179,Port-Gentil,-0.71174,8.75438
68482,Nairobi / Wilson,-1.32172,36.81483
68487,Kericho,-0.36667,35.35
69198,Galapagos-Seymour,-0.45376,-90.26591
116506,23016,-1.62,66.809
153906,Galapagos-San Cristobal,-0.902,-89.6191
159179,SERB,-1.61,-78.66
159180,Galapagos-Baltra,-0.45,-90.26
159181,SEQM,-0.11,-78.35
538901,15009,-0.01,-2.67
548057,Latacunga,-0.79081,-78.63204
612827,Talek,-1.45816,35.22719
94796,Gan Island,-0.68333,73.15
17531,HTBU bukoba,-1.33,31.82
68486,Kisii,-0.66667,34.78333
68940,Goma International Airport,-1.67081,29.23846
603042,GAN INTL AIRPORT TG,-0.7,73.15
19553,Menubabo,-1.18,136.12
62877,Bukoba Airport,-1.33333,31.81667
62951,Luwuk,-0.9,122.78333
62965,Manokwari/rendan,-0.89183,134.04918
63194,La Tola,-0.23333,-78.36667
68479,Nakuru,-0.26667,36.1
150995,Gan International Airport,-0.69334,73.15564
620547,Marlborough Weather station ,-0.04444,0.04444
640453,Backland,0.0,0.0
43546,Balikpapan WALL,-1.27,116.9
62966,Biak / Mokmer,-1.19002,136.108
63013,Pontianak / Supadio,-0.15071,109.40389
63312,Beru Island,-1.35472,176.007
67676,Kigali,-1.96667,30.11667
67960,Belem Aeroporto,-1.37925,-48.47629
69620,Mbarara,-0.61667,30.65
153900,Ambato/chachoan,-1.21207,-78.57464
153903,SEAM,-1.2,-78.57
545895,Latacunga,-0.83883,-78.60829
620836,Caxuana plot B,-1.73593,-51.46175
621169,Cevallos,-1.36173,-78.6104
63014,Sepinggan,-1.26827,116.89448
63016,Panarung/palangk,-1.0,114.0
165599,Puerto Cayo,-1.34211,-80.74511
62952,Poso/kasiguncu,-1.38333,120.73333
62964,Sorong/jefman,-0.92636,131.12119
62978,Rengat/japura,-0.33333,102.31667
62983,Samarinda/temind,-0.61667,117.15
62984,Ketapang/rahadi,-1.85,109.96667
63004,Padang,-0.87499,100.35188
63005,Singkep/dabo,-0.48333,104.58333
63006,Jambi/sultan Tah,-1.63802,103.64438
63198,Nuevo Rocafuerte,-0.91667,-75.41667
63201,Izobamba,-0.35,-78.55
63205,Querochaca,-1.35,-78.6
63217,Coca/francisco,-0.45,-76.95
63224,Pastaza/rio Amaz,-1.5,-78.05
63234,Narok,-1.13333,35.83333
63648,Nairobi / Dagoretti,-1.3,36.75
66545,Gamboma,-1.9,15.85
66546,Makoua,-0.01667,15.65
68531,Labuha/taliabu,-0.63526,127.502
68532,Sarmi/orai,-1.83333,138.71667
68547,Nangapinoh,-0.35,111.78333
68549,Muaratewe/bering,-0.95,114.9
69020,Gisenyi,-1.6772,29.25887
69122,Kabale,-1.25,29.98333
69225,Braganca,-1.08333,-46.93333
69226,Monte Alegre,-2.0,-54.08333
69227,Porto De Moz,-1.73917,-52.245
69228,Turiacu,-1.71667,-45.4
69899,Sao Gabriel Da Cachoeir,-0.13333,-67.08333
71469,Nyeri,-0.5,36.96667
71608,Franceville Mvengue,-1.66667,13.4
71625,Embu,-0.5,37.45
87331,Ruhengeri,-1.5,29.63333
87824,Puerto Ayora,-0.75333,-90.312
110791,EW1071 Kijabe KE,-0.94333,36.59583
150996,Nauru Island,-0.54746,166.9191
153901,Rio Amazonas Airport,-1.50524,-78.06267
166447,EW9844 Latacunga EC,-0.74167,-78.65867
596969,Tanicuchi,-0.76847,-78.60131
602999,MINANGKABAU TG,-0.7833,100.2833
603019,JUMANDY TG,-1.0666,-77.5833
603021,SHELL MERA/AMAZO TG,-1.5,-78.0666
637197,Malecon,-0.7499,-90.31081
645978,Quito,-0.18716,-78.44442
33778,El Murcielago,-0.93437,-80.72958
33788,Santa Marianita,-0.96475,-80.837
33789,San Mateo,-0.95359,-80.80774
35834,Galapagos,-0.40849,-92.1004
97376,Salinópolis,-0.579,-47.358
100957,Kandui Resort,-1.9082,99.3121
