Spot ID,Name,Latitude,Longitude
169622,US-189 at Charleston UT US UTAH DOT,40.4558,-111.4707
164963,US-189 at Deer Creek Dam UT US UTAH DOT,40.40525,-111.5266
188814,US-40 at MP 41 Co-Op Creek UT US UTAH DOT,40.2418,-111.1771
4416,Lake McConaughy South,41.04392,-102.2602
1104,Provo Airport,40.21667,-111.71667
88057,Flight Park South,40.45707,-111.90383
612919,Barbed Wire Beach,40.45876,-111.4727
11130,Sundance,40.3685,-111.5934
15934,Ogallala-Lake McC,41.12,-101.76
525471,Jordanelle Reservoir UT US PACIFICORP,40.59892,-111.4315
175682,American Fork Marina UT US UUNET,40.3401,-111.80104
20296,Silver Creek Junction,40.73205,-111.49825
2317,Willard,41.44021,-112.05637
187862,North Jordanelle UT US,40.66852,-111.43188
525472,Deer Creek UT US PACIFICORP,40.40076,-111.539
47761,Hideout,40.6338,-111.3849
48243,Powder Mountain,41.3699,-111.764
1102,Evanston,41.2731,-111.0306
189799,Provo Canyon UT US PACIFICORP,40.34086,-111.6045
88202,Longmont/vbrand,40.16367,-105.16304
568248,Grantsville South UT US PACIFICORP,40.56358,-112.47788
2325,Bluffdale,40.47541,-111.90479
71698,Boulder Muni,40.03779,-105.22735
1103,Salt Lake City,40.7707,-111.965
184974,FW4449 Laramie WY US,41.172,-105.86117
47763,Park City East,40.6529,-111.4569
172327,KHCR,40.47,-111.43
6791,Belmar,41.29576,-101.91375
13160,Storm Peak Observatory,40.45,-106.73
13890,Starvation Lake,40.17258,-110.493
15555,"KLAR laramie/brees, wy",41.32,-105.67
2434,Arlington,41.59835,-106.2137
2448,South Valley Airport,40.6195,-111.99283
6699,Ogallala East,41.13267,-101.6722
46949,Woodruff Narrows Reservoir,41.421,-111.051
103016,Currant Creek Peak UT US AVALANCHE,40.37837,-111.17501
164831,US-189 at Lower Provo Canyon UT US UTAH DOT,40.3284,-111.639
557045,POM North Side UT US HOLFUY,40.47191,-111.88297
4714,First Divide I-80 east of Evanston,41.29,-110.77
6251,Kimball Junction,40.727,-111.543
6267,Alta-Top Of Collins,40.571,-111.631
6299,DV - MOUNT BALDY UT US SNOWNET,40.6089,-111.4802
7472,Snowbasin-Straw Top,41.1856,-111.8696
9362,Williams Fork Res North,40.2111,-106.3294
19373,Alta-Mount Baldy,40.5677,-111.6374
47762,Heber,40.5636,-111.4288
91140,Evanston,41.261,-110.976
111613,Painter,41.26903,-110.86693
171855,Evanston - Agrimet EVTY WY US UTAH CLIMAT,41.19713,-111.02937
547036,Shadow Mountain CO US,40.2074,-105.842
4966,Lake Estes,40.38333,-105.48333
6774,Martin East,41.25423,-101.6342
6783,Lost Creek,41.37124,-102.24472
8970,Lago,40.693,-112.265
9313,DODGE CREEK,41.9672,-105.5192
20370,SNOWBIRD - HIDDEN PEAK UT US SNOWBIRD,40.5608,-111.6442
45680,Lagerman Reservoir,40.132,-105.22733
70092,Springdell,40.3341,-111.6133
83743,Lehi,40.40816,-111.89442
94232,Pioneer Crossing UT US UTAH DOT,40.4123,-111.9226
149662,I-80 @ Coalville UT US UTAH DOT,40.91775,-111.40721
170797,Lake McConaughy South,41.19,-101.486
175495,SR-68 at MP 16 Mosida UT US UTAH DOT,40.1768,-111.92455
180504,FW3671 Draper UT US,40.49933,-111.84367
519861,W Springwater Dr,40.28132,-111.73762
1076,Hayden,40.48111,-107.2175
5474,Ash Hollow,41.31101,-102.1254
6256,Atwood,40.6373,-111.9042
6259,Parleys Summit,40.753,-111.62499
6261,Nash,40.44965,-111.9116
7464,SNOWBASIN - WILDCAT UT US AVALANCHE,41.2015,-111.8635
9518,Pleasant Grove,40.4311,-111.75
20303,GSL Marina,40.7338,-112.21094
20380,PARK CITY - JUPITER UT US AVALANCHE,40.6135,-111.5395
20562,Wahsatch Hill,41.2,-111.11
70691,Snyderville,40.683,-111.574
72945,Erie Muni,40.01022,-105.04797
87006,Loveland,40.3885,-105.048
91114,Herrick Lane by Laramie,41.395,-105.8241
101560,Big Springs,41.07362,-102.021
147497,Laketown UT US,41.8379,-111.3344
149268,Jackson Res,40.35011,-104.11211
151589,Reynolds Peak UT US AVALANCHE,40.66212,-111.64677
154054,EW7114 Rush Valley UT US,40.37483,-112.4285
188433,US-40 at MP 66 Fruitland UT US UTAH DOT,40.20525,-110.77125
571971,Thistle UT US PACIFICORP,40.00615,-111.48868
583883,Duchesne Ridge UT US UUNET,40.46689,-111.10347
595921,Still Water Dr,40.62918,-111.43674
603939,E Bearlake UT US PACIFICORP,41.88209,-111.27031
1074,Fort Collins-Stover,40.556,-105.068
1075,Craig,40.49528,-107.52111
1077,Greeley,40.421,-104.744
1078,Akron,40.17167,-103.23167
1100,Ogden,41.19561,-112.01139
1101,Hill AFB,41.11667,-111.96667
4706,Continental Divide I-80 west of Rawlins,41.71,-107.78
4707,Bitter Creek I-80 east of Rock Springs,41.64,-108.58
5526,Boyd Lake East,40.43338,-104.99178
6254,Weber,41.139,-111.887
6304,Trans-Jordan Landfill UT US SNOWNET,40.5568,-112.06094
6553,Durrant WY US UPR,41.83615,-106.6814
6657,Como WY US UPR,41.9093,-106.375
7420,Trappers Loop,41.217,-111.799
8618,BLACKTAIL,40.2692,-110.5622
11285,Ogden Peak,41.2,-111.881
12845,BOUNTIFUL BENCH UT US KSL,40.89,-111.85
13326,WBB/U UTAH UT US SNOWNET,40.76623,-111.84755
13753,CW8430 Randolph,41.6715,-111.1869
15337,Kremmling,40.05,-106.37
15362,Rawlins,41.8,-107.2
15786,"KRKS rock springs/rock s, wy",41.59,-109.07
20502,Bunnells,40.31496,-111.56295
27567,Parleys Canyon @ Quarry UT US UTAH DOT,40.7258,-111.7681
29748,EVANSTON 1E WY US CRBFC,41.265,-110.94583
49653,UT30,41.779,-112.0218
50148,MDAN1,41.91778,-103.48417
83659,Elsie,40.8451,-101.398
88110,Sterling Airport,40.61533,-103.26485
91115,Quealy Dome by Laramie,41.4439,-105.9613
91125,Walcott Junction,41.7415,-106.8419
91138,Tipton,41.6301,-108.2966
97289,DW9435 Draper UT US,40.48217,-111.87933
99807,HAWKSPRINGS RESERVOIR AND OUTFLO WY US,41.72333,-104.21472
99981,Fort Morgan,40.33364,-103.80378
101595,RKRIVR WY US UPR,41.73107,-105.97694
113468,EW2533 Bountiful UT US,40.89967,-111.85167
114294,Great Salt Lake Minerals UT US UUNET,41.297,-112.26907
119269,James Peak UT US UTAH DOT,41.39134,-111.79291
149751,OAK SPRINGS UT US,40.40653,-112.07707
150849,Birch Springs Draw UT US,40.9904,-109.654
154938,Bolinder Field Tooele Valley Airport,40.61256,-112.35078
158186,SLC Airport Wind 3 UT US SNOWNET,40.80472,-111.97516
172269,KGNB,40.08,-105.91
173350,SR-224 at Meadows Drive UT US UTAH DOT,40.6757,-111.52115
186348,FW0319 Salt Lake City UT US,40.75333,-111.69983
187861,Mount Aire Canyon UT US,40.74044,-111.73931
188345,FW6033 Centennial WY US,41.313,-106.145
196558,FW7016 Longmont CO US,40.16767,-105.02833
547039,Wiggins CO US,40.3144,-104.033
555781,Woods Landing-Jelm,41.10361,-106.01172
572250,N 2550 W,40.12427,-111.84193
573407,Snowy Range WY US PACIFICORP,41.33793,-105.71261
576630,1550 S,40.14555,-111.62711
590611,Three Fls Dr,40.48569,-111.7694
603212,South 2510 East,40.08427,-111.61211
629150,Dinosaur,40.24432,-108.93906
629460,North Ogden Divide UT US UTAH DOT,41.3205,-111.8993
2383,Ward Southwest,40.036,-105.543
2437,Pumpkin Vine US 287 south of Laramie,41.05,-105.46
2438,Vedauwoo,41.15,-105.4
2439,Whitaker I-25 north of Cheyenne,41.41,-104.87
2440,Peru Hill I-80 west of Green River,41.55065,-109.5995
2441,Speer,41.0476,-104.8901
2442,Sage Junction US 30 west of Kemmerer,41.79,-110.5
2444,Gun Barrel US 85 northeast of Cheyenne,41.43,-104.34
3609,Briggsdale North,40.75883,-104.283
4345,Bordeaux I-25 south of Wheatland,41.92,-104.94
4412,Opal WY US UPR,41.78027,-110.2367
4414,WY/NE State line on I-80 @ MP .47,41.18075,-104.0485
4415,Sidney West,41.16937,-103.1094
4443,CO Welcome Center,40.96951,-102.24667
5489,Niwot Ridge-Saddle,40.05472,-105.5892
5490,Lake Isabelle,40.071,-105.6208
5512,Sterling,40.62081,-103.17249
5514,Virginia Dale,40.95152,-105.34602
5515,Buda,40.32111,-104.98055
5516,Wiggins,40.24849,-104.03754
5518,Natural Fort,40.9877,-104.91161
5520,Briggsdale,40.63971,-104.3254
6034,Crescent Lake,41.7611,-102.4378
6048,RED SPUR,41.6317,-111.4111
6258,South Salt Lake,40.7171,-111.9044
6265,Whites Valley,41.81014,-112.33939
6279,LOFGREEN UT US TOOELE,40.03473,-112.28603
6281,OPHIR STATION UT US TOOELE,40.35188,-112.3056
6296,Vernon Hill,40.13013,-112.38474
6546,Bushnell NE US UPR,41.23317,-103.8458
6552,Hillsdale WY US UPR,41.211,-104.4375
6563,Bridger WY US UPR,41.40758,-110.5763
6580,Pehrson UT US UPR,40.13988,-112.3534
6589,Garfield UT US UPR,40.75052,-112.0351
6602,Medicine Bow WY US UPR,41.88663,-106.1647
6610,Sage WY US UPR,41.8238,-110.9234
6660,Waterfall WY US UPR,41.75867,-110.4667
6673,GRANG1 WY US UPR,41.6174,-109.9116
6683,Verne WY US UPR,41.57042,-110.1032
6686,Buford WY US UPR,41.11408,-105.3419
6687,Lynch,41.02458,-105.1563
6688,Melba,41.76657,-103.4723
6696,Lodgepole,41.11847,-102.5439
6700,Emkay,41.08202,-105.0375
6723,Wilcox WY US UPR,41.7977,-105.9854
6729,Sinclair East WY US UPR,41.77933,-107.04996
6733,Brownson,41.19124,-103.12589
6735,Bryan East WY US UPR,41.5532,-109.6404
6755,Costin NE US UPR,41.86718,-103.73632
6757,Hallville WY US UPR,41.60896,-108.73629
6769,Coumbe Bluff,41.4537,-102.48583
6795,Towers West,41.63306,-102.97592
6802,Monell WY US UPR,41.57857,-108.51265
6856,Roy,40.11026,-104.5658
7102,DIAMOND RIM,40.6172,-109.2428
7261,White River City,40.0208,-108.3981
7666,CROW CREEK WY US SNOTEL,41.23,-105.38
8304,Hampton WY US UPR,41.51987,-110.3321
8650,Cow Creek,41.3089,-107.5739
8726,KINGS POINT,40.8597,-109.1033
8770,MUDDY CREEK,41.4003,-110.5514
8842,YAMPA PLATEAU,40.2831,-109.29
8936,FORT DUCHESNE,40.2847,-109.8617
8944,VERNON,40.1006,-112.4261
8966,Tremonton,41.69038,-112.16285
8967,I-15 @ Plymouth UT US UTAH DOT,41.88607,-112.16924
8968,MOUTH PARLEYS UT US UTAH DOT,40.7122,-111.8019
9064,Eaton South CO US UPR,40.50814,-104.70444
9305,DEAD HORSE,40.0786,-107.3681
9346,Great Divide,40.7575,-107.8536
9504,OTTER CREEK,41.7533,-111.2806
9581,Sawmill Park,41.0742,-106.1311
9582,Scotts Bluff,41.8294,-103.7081
9610,SNOW SPRINGS CREEK,41.4175,-109.0361
9704,CALICO,40.3769,-108.5219
11107,Egbert WY US UPR,41.16048,-104.2317
11110,Clover UT US UPR,40.26128,-112.3948
11114,Sunol,41.15505,-102.7813
11123,Peru Hill I-80 at Green River Tunnel,41.53,-109.46
11226,LOGAN PEAK UT US CAMPBELL,41.71,-111.71
11250,Uintah West UT US UPR,41.14802,-111.95652
11284,Logan Summit UT US UTAH DOT,41.9516,-111.4916
11401,Johnson Farm,40.37,-101.72
11404,Rockport East,40.87,-104.73
11921,CHEPETA,40.8103,-110.0733
11938,Dix,41.23408,-103.4694
12537,BEACH TWO - B2 UT US KENNECOTT,40.7358,-112.19625
12544,CENTER TAILINGS - CT UT US KENNECOTT,40.7488,-112.12814
12671,Ward East,40.0811,-105.49318
12832,Archer WY US UPR,41.17605,-104.6376
13372,MARINA - MR UT US KENNECOTT,40.73433,-112.21033
13884,Salt Lake City-Pioneer Park,40.7584,-111.9042
13889,Bacchus,40.6333,-112.055
14108,CW8632 Riverside,41.78748,-112.16482
15288,Scottsbluff,41.87,-103.6
15365,Sidney Airport,41.1,-102.98
15379,Cheyenne Regional Airport,41.15,-104.82
15511,"KVEL vernal arpt, ut",40.43,-109.52
15548,"KEEO meeker, co",40.05,-107.88
15551,Imperial,40.52,-101.62
15811,Kimball,41.19,-103.68
19478,Cascade Ridge UT US UTAH DOT,40.3152,-111.5872
19488,DUCHESNE UT US SUPERAWOS,40.1919,-110.38098
19506,RANGELY CO US SUPERAWOS,40.09398,-108.76304
19733,Bothwell,41.722,-112.22783
20318,CW8916 Wellsville,41.61583,-111.9325
20531,Alta-Guard House,40.5905,-111.638
27031,Laramie WY US UPR,41.45151,-105.62477
27032,Chappell,41.00639,-102.38226
27036,BRIGHTON GREAT WESTERN UT US AVALANCHE,40.5923,-111.5616
28778,SHERWOOD HILLS UT US UTAH DOT,41.585,-111.975
28963,Holyoke,40.5712,-102.29516
29716,HANNA UT US CRBFC,40.40167,-110.75833
31382,CW9635 Salt Lake City,40.72333,-111.86533
32554,Grand Encampment SE,41.13,-106.56
44043,Estes Park East,40.36083,-105.44917
46028,Hardman,40.35302,-104.87032
46322,West Bountiful,40.908,-111.915
48411,WDYPK,40.84148,-111.02062
48933,LOFTY,40.73122,-110.891
55397,Halligan Reservoir,40.872,-105.35883
67056,Cheyenne Regional Jerry Olson Field,41.15778,-104.80694
85123,SLC Airport North,40.81582,-112.00422
85317,CHICKEN RIDGE UT US SCAN,41.33,-111.3
86914,KEHY,41.73,-106.46
87837,Portable RWIS 2 UT US UTAH DOT,41.057,-111.5328
88111,Holyoke,40.56944,-102.27278
89085,Lehi (DW6494),40.43067,-111.8435
90901,Steamboat Springs Bob Adams Field,40.51626,-106.8663
91097,Sinclair,41.77,-107.09
91098,Point of Rocks by Rock Springs,41.6825,-108.8014
91099,Superior by Rock Springs,41.692,-108.9003
91100,Rock Springs West by Rock Springs,41.55,-109.33
91101,Church Butte,41.43,-110.12
91102,Nugget Canyon by Kemmerer,41.8204,-110.8082
91113,Remount by Cheyenne,41.1,-105.21
91116,Strouss Hill,41.4962,-106.046
91117,Cooper Cove by Arlington,41.5488,-106.0889
91118,Arlington East by Arlington,41.5875,-106.1792
91119,Foote Creek by Arlington,41.6214,-106.2411
91120,County Road 402 by Elk Mountain,41.6696,-106.3709
91121,Elk Mountain,41.7201,-106.45
91122,Halleck Ridge by Elk Mountain,41.7532,-106.5115
91123,Mile Marker 249.1,41.7415,-106.5677
91124,Dana Ridge,41.7336,-106.6481
91139,Baxter Road by Rock Springs,41.6154,-109.1214
91142,Summit East by Laramie,41.2008,-105.4346
91143,Wagonhound by Arlington,41.6396,-106.2932
92197,Wray Municipal Airport,40.10032,-102.24096
93901,Francis E Warren Af,41.16,-104.8
95186,Natural History Museum Utah UT US SNOWNET,40.76431,-111.82285
96780,DW9298 Keenesburg CO US,40.05017,-104.5335
100337,EW0853 Livermore CO US,40.70617,-105.4125
100584,KFMM,40.33,-103.8
100623,LARAMIE 2NW WEATHER STATION WY US,41.3397,-105.6083
101027,SR-85 @ Juniper UT US UTAH DOT,40.4845,-111.9938
101346,BRGPT1 NE US UPR,41.71371,-103.23035
101347,Sarben,41.16875,-101.39531
101376,LNDBRG WY US UPR,41.33058,-104.10955
101529,SPEER3 WY US UPR,41.06663,-104.93408
101594,LAGRAN WY US UPR,41.5717,-104.11643
101596,YODER WY US UPR,41.92452,-104.26639
101640,DOVERG CO US UPR,40.77198,-104.80708
101642,NANTES CO US UPR,40.25377,-104.80781
101841,WARREN WY US UPR,41.04895,-104.89413
103187,DALEWS WY US UPR,41.084,-105.421
111579,Roosevelt UT US AQ,40.2942,-110.009
111614,US 189 Interchange,41.30777,-110.74246
111615,Coal Road,41.29657,-110.6852
111616,Leroy,41.29894,-110.6389
111617,French,41.29771,-110.55779
111618,Lone Tree,41.12822,-105.33918
111619,Buford East,41.11776,-105.28064
111620,Otto,41.10032,-105.07431
111621,MP 353.0,41.10959,-104.97488
112137,SR-85 @ Dannon Way UT US UTAH DOT,40.58227,-112.0304
113461,KE7YUP Saratoga Springs UT US,40.40533,-111.9295
113995,Shively Fld,41.44486,-106.82353
114000,KSAA,41.44,-106.83
115288,Pine Bluffs Municipal Airport,41.15332,-104.13023
115289,Kemmerer Municipal Airport,41.82389,-110.55694
116550,Fort Bridger Airport,41.39194,-110.4068
118683,KFBR,41.39,-110.41
118684,KEMM,41.82,-110.56
118687,KDWX,41.04,-107.49
118692,K82V,41.15,-104.13
119356,UofU MiniSodar 1 UT US UUNET,40.7418,-112.03723
119520,EW3712 Vernal UT US,40.47467,-109.57617
119602,EW2581 Medicine Bow WY US,41.89783,-106.231
146701,EW4338 Boulder CO US,40.05367,-105.34617
147494,Blue Creek UT US,41.9622,-112.4912
147496,Randolph UT US,41.8327,-111.0877
147498,Tremonton UT US,41.7229,-112.1538
148485,I-15 @ Beer Creek UT US UTAH DOT,40.073,-111.7151
149663,I-80 @ Wanship UT US UTAH DOT,40.81295,-111.40141
149830,Neil Armstrong Academy UT US UUNET,40.71152,-112.01448
150093,EW5472 Mckinnon WY US,41.02767,-109.93817
150273,Brigham City Airpor,41.55222,-112.06222
150520,KBMC,41.55,-112.06
150574,S-Turns - Big Cottonwood Canyon UT US UTAH DOT,40.6341,-111.7235
152172,SR-65 at Big Mountain Pass UT US UTAH DOT,40.82794,-111.65448
152954,Bear Lake UT US,41.9336,-111.42
154885,"Laramie, WY",41.30875,-105.5891
157822,POLE MT WY US,41.22722,-105.43306
157984,KTVY,40.61,-112.35
159391,EW7755 Akron CO US,40.16017,-103.20233
159661,Fremont Island UT US UUNET,41.17117,-112.34125
160049,"TabernashW, CO",40.0071,-105.8862
160313,"Pine BluffsNW, WY",41.18699,-104.0728
160823,CPER CO US SCAN,40.82,-104.71
163160,"Fort CollinsNW, CO",40.56227,-105.0893
163164,Yuma Municipal Airport,40.10415,-102.71299
163227,SR-201 at I-80 UT US UTAH DOT,40.72255,-112.22569
163842,SNOWBASIN - STRAWBERRY TOWER 15 UT US SNOWNET,41.1884,-111.8641
164039,US-89 at Park Lane UT US UTAH DOT,40.98985,-111.9013
164399,Vernal UT US UCC-AGNET,40.4584,-109.562
165194,Roosevelt Municipal Airport,40.27829,-110.05126
167040,K1NW,40.63,-103.83
167041,K1MW,40.7,-103.48
167042,K1OW,40.88,-104.0
167043,K1GW,41.22,-103.1
167044,K1AW,41.33,-104.27
167045,K1BW,41.52,-104.0
167046,K1CW,41.59,-103.67
167066,K1LW,40.92,-103.7
167067,K1KW,41.13,-103.48
167068,K1DW,41.37,-103.8
167075,K1JW,40.97,-103.2
167076,Lorenzo 8 @ 125,41.05,-102.87
167077,Gurley 127 @ 46,41.32,-102.83
167078,K1FW,41.37,-103.48
167509,FW0074 Cheyenne WY US,41.029,-104.728
168398,K1EW,41.12,-103.98
169127,FW0192 Fort Lupton CO US,40.04917,-104.74683
170090,Syracuse UT US UUNET,41.08847,-112.1188
170356,Cherokee Park CO US,40.8263,-105.267
170358,CSU - ARDEC CO US,40.6525,-105.0
170359,Fort Lupton CO US,40.0011,-104.849
170360,Haxtun CO US,40.6722,-102.647
170361,Holyoke CO US,40.4909,-102.089
170362,Kersey 2 CO US,40.3629,-104.478
170363,Lucerne CO US,40.4756,-104.707
170364,La Salle CO US,40.3349,-104.63
170365,Wray 2 CO US,40.2187,-102.265
170366,Akron CO US,40.1548,-103.142
170367,Ault CO US,40.569,-104.72
170371,Cowdrey CO US,40.8659,-106.336
170378,Greeley 4 CO US,40.4487,-104.638
170380,Hebron CO US,40.5455,-106.388
170384,Hayden CO US,40.499,-107.181
170388,Larand CO US,40.6126,-106.3
170395,Peckham CO US,40.3125,-104.727
170401,Yuma CO US,40.1504,-102.724
170413,Iliff CO US,40.7678,-103.045
170418,Wolford Mtn Reservoir CO US,40.1387,-106.415
170463,Sterling CO US,40.4632,-103.028
170951,EMESAW UT US UPR,40.41957,-111.89014
171000,CASRK2 UT US UPR,41.1089,-111.20748
171001,WASAH1 WY US UPR,41.24913,-111.03135
171164,Granby/grand Co,40.08971,-105.91724
171213,US-89 at USU UT US UTAH DOT,41.73977,-111.8112
171251,BUCKEYE CO US,40.81152,-105.0367
171314,UCRN - Manila UT US UTAH CLIMAT,40.92251,-109.38976
171840,Duchesne - Agrimet DUCU UT US UTAH CLIMAT,40.36047,-110.18075
171848,PleasantValley - Agrimet PLVU UT US UTAH CLIMAT,40.162,-110.10739
171859,PelicanLake - Agrimet PELU UT US UTAH CLIMAT,40.1814,-109.66754
171864,Crow Mountain UT US UTAH CLIMAT,41.87199,-111.80944
171870,TWDEF Ridge UT US UTAH CLIMAT,41.86641,-111.51216
171895,Paradise UT US UTAH CLIMAT,41.54953,-111.85008
172318,Mary's Lift UT US UUNET,41.36949,-111.74537
172617,SOLITUDE HONEYCOMB PEAK UT US AVALANCHE,40.60167,-111.61417
172734,I-215 at Olympus Cove UT US UTAH DOT,40.6826,-111.7973
173349,I-215 at I-80 UT US UTAH DOT,40.76605,-111.9499
174354,ROOSEVELT UT US NWS/FAA,40.28,-110.05
174360,Yuma Municipal Airport CO US NWS/FAA,40.1046,-102.7128
175373,EMC-PonyEx UT US UCC-AGNET,40.31298,-112.03126
175695,US-91 at MP 6 Mantua UT US UTAH DOT,41.498,-111.9532
