Spot ID,Name,Latitude,Longitude
574822,Esposende Kook Proof,41.53045,-8.782
16368,Porto-Aeroporto,41.23,-8.68
16978,Maceda-Furadouro,40.92,-8.65
16523,Madrid-Barajas,40.45,-3.55
16535,Zaragoza,41.67,-1.02
52695,Ovar Aerodromo,40.9167,-8.6333
112613,Aveiro,40.62211,-8.64711
601598,Aveiro-Gafanha da Nazare,40.63,-8.69
601603,Caxinas,41.3614,-8.7589
601687,Figueira da Foz-Costeiras,40.11,-8.85
16531,Valladolid-Villanubla Aeropuerto,41.72,-4.85
16532,Madrid-Cuatro Vientos,40.38,-3.78
17314,Salamanca-Matacan,40.95,-5.5
17315,Madrid-Torrejon,40.48,-3.45
17361,Madrid-Getafe,40.3,-3.72
47894,Conceicao,40.29083,-7.5075
116180,Valladolid / Villanubla,41.70611,-4.85194
116184,Navacerrada,40.78333,-4.01667
116190,Madrid / Getafe,40.29414,-3.72383
152147,Calamocha,40.93333,-1.3
152207,LECH,40.87,-1.3
159192,LETL,40.41,-1.21
189744,"Valdelinares, 'esqui'",40.38333,-0.63333
601597,Praia-Buarcos,40.1705,-8.8889
601600,Pardilho,40.79,-8.63
3802,Benavente,42.0,-5.68333
17461,Madrid-Colmenar,40.65,-3.73
524000,FW8451 Cati - Avella ES,40.50533,-0.00033
529734,Calle Diseminados,40.62409,-3.86396
562014,Poligono Vp AR-1 Tempranales S1,40.56174,-3.64068
592793,C. Cabo de Creus,40.42364,-3.90704
51084,Gafanha de Nazare,40.628,-8.711
94927,DW8501 Madrid ES,40.44383,-3.5855
601604,Carreco,41.75,-8.87
48652,Mesao Frio,41.45179,-8.26306
88530,Zaragoza Centro,41.6785,-0.873
98625,DW9945 Daganzo de Arriba ES,40.5475,-3.46167
168392,Q. Ta Do Casal,40.62617,-8.63333
547704,GW0118 Alcala De Henares ES,41.06617,-2.64133
578573,Salmedina&amp;nbsp;,40.3629,-3.60413
642840,Av. de Juan Pablo II,40.64757,-3.78443
51089,Leca da Palmeira,41.199,-8.71
601599,Murtosa,40.74,-8.63
116191,Guadalajara,40.66667,-3.16667
116194,Madrid / Cuatro Vientos,40.37068,-3.78514
128270,Soria,41.76667,-2.46667
164971,EW9353 Seia PT,40.45517,-7.68617
199456,FW4315 Villavieja de Yeltes ES,40.87917,-6.4695
577026,JMO La Florida,40.47374,-3.81721
639381,GW4950 COLMENAR VIEJO ES,40.64983,-3.79
83600,Ovar,40.8591,-8.6161
112614,Fermentelos,40.56811,-8.52311
147573,Sardoal,41.19511,-8.70411
165425,Meadela,41.71611,-8.82411
27474,Guadalajara,40.69897,-3.4492
66975,Valladolid,41.65,-4.76667
66979,Cuenca,40.06667,-2.13333
70885,Embalse de El Atazar,40.88311,-3.58676
82406,Aldeanueva de Vera,40.13083,-5.69667
84643,EA4DQX Vaciamadrid ES,40.3565,-3.52004
94396,DW7160 La Colilla ES,40.64467,-4.76083
97281,DW8661 Madrid ES,40.48133,-3.733
100494,EA1AHP-1 Calle de Mauricio Legendre ES,40.9475,-5.67917
116189,Zamora,41.51667,-5.73333
116214,Molina De Aragon,40.85,-1.88333
163622,EW8946 Zaragoza ES,41.61633,-0.91067
171906,FW1436 Tres Cantos ES,40.60783,-3.69183
188383,FW6114 Checa ES,40.58467,-1.78967
188609,DW5475 Fermentelos PT,40.56633,-8.5225
526516,Albalate de Zorita,40.30566,-2.82624
526840,R. Seixal,40.14575,-8.81836
527431,"S&atilde;o Louren&ccedil;o, Chaves",41.72411,-7.4153
527808,R. Caneira,40.49099,-8.57923
542408,Calle de Purchena,40.47799,-3.66446
545692,Calle el Cerrillo,40.99209,-4.02728
554167,Vila Nova de Oliveirinha,40.36621,-7.90516
562119,Bairro da Alegria,41.14655,-8.58516
578656,GW2195 MACORES PT,41.12733,-7.0015
609541,GW3643 MADRID SP,40.46067,-3.70567
621108,C/ de Eduardo Barreiros,40.36279,-3.70579
33396,Aveiro,40.64111,-8.7749
33414,Embalse de Valmayor,40.54782,-4.05419
33427,Mindelo,41.30638,-8.74744
34570,"Cabedelo, Viana do Castelo",41.67037,-8.84054
87403,Porto nearshore,41.062,-9.4845
90036,Oncala,41.94978,-2.29607
96699,La Loteta,41.811,-1.323
