Spot ID,Name,Latitude,Longitude
489,Floras Lake,42.9009,-124.50437
6530,Gold Beach Oceanside,42.41389,-124.4265
591,North Bend,43.417,-124.246
4368,Port Orford,42.7386,-124.4984
14527,Camas Prairie,43.31365,-115.26654
71264,Antelope Flats,43.52743,-111.5004
483,Gold Beach Airport,42.4206,-124.4259
11354,Fairfield,43.30833,-114.825
93670,Barclay Bay,43.52,-116.054
1352,Clear Lake,43.1578,-93.3313
111624,Farson,42.10885,-109.44941
7459,TERRETON ID US ARL FRD,43.81,-112.41
187906,D6 - Palisades Dam ID US,43.3325,-111.1981
2190,Brookings,42.0744,-124.29
15950,Driggs,43.74,-111.1
111534,EW2058 Horseshoe Bend ID US,43.85967,-116.23017
4411,Ririe,43.61,-111.7
15812,Jackson Hole Airport,43.61,-110.74
111625,Wind River Lake,43.7485,-110.0604
174352,Alpine WY US NWS/FAA,43.1846,-111.0424
175535,Woodrat Mountain Launch,42.23167,-123.00361
602623,MAGIC RESERVOIR,43.28455,-114.40116
6498,Mt Bachelor,43.98314,-121.58034
6521,Humbug Mountain,42.6863,-124.446
14154,Richfield,43.05841,-114.13467
15353,Pocatello Airport,42.92,-112.57
1347,Worthington-Okabena,43.6551,-95.5792
8233,Horse Ridge (US 20 MP 21) OR US ODOT,43.90014,-120.98723
9303,Deer Haven Mountain,43.1739,-115.1519
12395,Sun Valley-Bald Mountain,43.6612,-114.4021
14217,JACKSON HOLE-SUMMIT WY US BTAVAL,43.59,-110.85
14218,LAVA MOUNTAIN WY US BTAVAL,43.66,-110.021
15239,Boise Airport,43.57,-116.22
15468,Yankton KYKN,42.92,-97.38
15823,C.J. Strike Reservoir,43.05,-115.87
20396,Botts RWIS ID US ITD,43.8787,-111.36294
48419,Lucky Peak,43.57,-116.0322
157737,Bullards Bridge,43.14882,-124.39561
1346,Rochester,43.9047,-92.4992
1491,Medford,42.3811,-122.8722
9169,ANDERSON RIDGE,42.4372,-108.9456
11359,Grand View,42.9125,-116.05611
13882,Perrine Bridge ID US ITD,42.63,-114.45
14063,Arbon Valley,42.87937,-112.66341
14146,Craters of the Moon,43.42912,-113.53826
14216,Grouse Mountain WY US BTAVAL,43.72217,-110.2575
14526,Timmerman Hill ID US ITD,43.32534,-114.28078
15222,Jerome,42.73,-114.44
19972,Racine,42.47,-93.27
45602,Platteville Airport,42.69,-90.44
50362,GLDW4,42.46889,-104.96556
119264,River Rim ID US,43.8565,-111.2794
120423,Riley (US 20 MP 104.0) OR US ODOT,43.5425,-119.5036
180675,FW3813 Bend OR US,43.79217,-120.94083
528182,Mt Glory Summit WY US AVALANCHE,43.507,-110.95
543749,Apogee Way,42.29839,-121.80979
577791,Riverside WY US PACIFICORP,42.88872,-109.84745
587350,Paulina Peak Upper MISC,43.68885,-121.2628
1348,Jackson,43.65,-94.9865
1350,Estherville,43.4074,-94.7464
1351,Spencer,43.1655,-95.2028
1353,Storm Lake,42.5973,-95.2407
4324,Algona (US 18),43.083,-94.3985
4461,Marshalltown (US 30),42.0037,-92.9617
4494,Hunter Township,43.63869,-95.11854
5932,NORTH BANK,43.3556,-123.1914
6098,SQUAW PEAK,42.0697,-123.0117
6606,Alexander ID US UPR,42.65497,-111.7299
7147,Grand Teton,43.7236,-110.7103
7429,BLACKFOOT NEW ID US ARL FRD,43.18987,-112.3333
7444,KETTLE BUTTE ID US ARL FRD,43.55,-112.33
7456,SUGAR CITY ID US ARL FRD,43.9,-111.74
9507,Owyhee Ridge,43.5178,-117.2397
11334,KLAMATH FALLS OR US AGRIMET,42.16472,-121.755
12372,Sterling,43.04518,-112.74
13056,CW6293 Daniel,42.98633,-110.08967
13629,Kinsey Butte ID US ITD,43.09615,-114.37156
14141,Aberdeen,42.95497,-112.82455
14142,Arco,43.62452,-113.29709
15256,"KIDA idaho falls/fang, id",43.52,-112.07
15519,"KRXE rexburg arpt, id",43.83,-111.81
15885,"KFSD sioux falls/foss, sd",43.58,-96.75
15941,"KSUN sun valley/hly, id",43.5,-114.3
18229,Lone Rock,43.22,-90.18
19196,"KVTI vinton mem arpt, ia",42.22,-92.03
19510,Raymer,43.6,-110.85
19700,East of Atomic City ID US ITD,43.55,-112.42
48414,Pocatello-ID State Univ,42.85082,-112.415
48420,ITD67,43.97861,-116.92333
48431,Moutain Home-South,43.04806,-115.58
50130,BOYW4,43.40417,-108.17333
53770,Forest City,43.23,-93.62
86499,Milford,43.333,-95.151
91231,IDARNG1_RG2 ID US,43.2731,-116.1511
92061,Freds Mountain Summit WY US BTAVAL,43.78663,-110.93423
148491,Florence Airport,43.9828,-124.1114
163645,Phifer Airfield,42.05551,-104.92862
172660,US20 @ Hampton(US20 MP63.5) OR US ODOT,43.67444,-120.23817
172661,HWY372 @ Century Drive(HWY372 MP OR US ODOT,43.99178,-121.65663
180846,Surprise Pinnacle WY US BTAVAL,43.72689,-110.77585
