Spot ID,Name,Latitude,Longitude
15182,Aero di Venezia,45.5,12.3333
15166,Genova-Sestri,44.4133,8.8375
64137,Zadar Lighthouse,44.128,15.209
149208,Torbole-Garda,45.87611,10.86911
149121,Savar,44.06111,15.02011
16866,Anapa,44.9,37.32
17245,Pula,44.89111,13.93
51534,Ala (Garda-East),45.76,11.006
64115,Mali Losinj,44.53333,14.48333
64838,Chornomors'ke,45.51667,32.7
165951,Monfalcone,45.79311,13.54211
2821,Loano,44.125,8.2545
17247,Zadar Aerodrom,44.1,15.35
17351,Bucuresti-Otopeni,44.55,26.1
51523,Quiliano,44.291,8.414
51614,Granges-les-Beaumont,45.05,4.985
53412,Grand-St-Bernard,45.8667,7.1667
112353,Genova Rivarolo,44.44511,8.90011
112702,Secovlje,45.48711,13.59811
112705,Kukuljanovo,45.32511,14.52311
115833,Omu,44.58,142.96333
120432,Prosecco,45.703,13.738
149232,Koper Salara,45.52911,13.74211
149925,Slobozia,44.55,27.38333
184689,Torbole,45.876,10.869
184766,Spiaggia Libera,44.024,12.633
186290,Bosco Chiesanuova,45.69133,11.05717
621516,GW4159 RAVENNA IT IT,44.4925,12.28783
16371,Pian Rosa,45.93,7.7
16698,Monte Cimone,44.2,10.7
16845,Beograd-Surcin,44.82,20.28
16867,Znamenskiy,45.03,39.15
16869,Andzhiyevskiy,44.23,43.07
16871,Goncharov,45.33,42.0
17249,Osijek-Cepin,45.45,18.8
17349,Bucuresti Aeroport,44.5,26.13
17350,Kogalniceanu,44.33,28.43
17352,Timisoara,45.77,21.25
17382,Sibiu,45.79,24.09
17385,Tulcea,45.06,28.72
17438,Craiova,44.23,23.87
17463,Le Puy,45.08,3.77
19194,Wakkanai Airport,45.4,141.8
19206,Monbetsu,44.25,143.53
19379,Kyzylorda,44.85,65.5
20068,Vrsac,45.15,21.32
48047,Batajnica,44.93,20.25
49447,Angouleme,45.72,0.22
50922,Bergerac,44.8253,0.5186
50926,Limoges,45.8628,1.1794
50933,Rodez,44.4079,2.4827
50943,Clermont-Ferrand,45.7833,3.15
50945,Lyon Aéroport/Satolas,45.7264,5.0908
50949,Grenoble-St-Geoirs Aéroport,45.3629,5.3294
50953,Lyon-Bron,45.7167,4.9333
50955,St. Etienne-Boutheon,45.5406,4.2964
50965,Orange,44.1333,4.85
53378,ITD82,44.45611,113.24139
53547,Millau,44.1167,3.0167
53919,Kerch,45.4,36.4167
54994,Wakkanai,45.4167,141.6833
54995,Abashiri,44.0167,144.2833
54996,Yuzhno-Kurilsk,44.0167,145.8667
63632,Varfu Omu,45.45,25.45
63638,Sulina,45.16667,29.73333
63641,Craiova,44.31814,23.88861
64116,Senj,45.0,14.9
64117,Zavizan,44.81515,14.97522
64135,Rab,44.75,14.76667
64139,Knin,44.03333,16.2
64608,Osijek/klisa,45.46667,18.81667
64953,Crni Vrh,44.11667,21.95
64961,Vrsac,45.14689,21.30989
65474,Mudanjiang,44.56667,129.6
65552,Erdenetsagaan,45.9,115.36667
65553,Saikhan-ovoo,45.45,103.9
65554,Mandalgobi,45.76667,106.28333
65555,Tsogt-ovoo,44.41667,105.31667
65556,Bayandelger,45.73333,112.36667
65565,Sainshand,44.9,110.11667
65675,Sam,45.4,56.11667
65676,Dzhusaly,45.50968,64.08619
65677,Zlikha,45.25,67.06667
65690,Fort Shevchenko,44.54767,50.24286
65734,Erdeni,45.15,97.76667
65735,Amarbuyantayn,44.61667,98.7
65736,Bogd,44.65,102.16667
65737,Bayan Dobo Suma,44.56667,107.18333
65793,Tonghe,45.96667,128.73333
65794,Jixi,45.3,130.93333
65909,Uliastai,45.51667,116.96667
65919,Abag Qi,44.01667,114.95
66228,Kocubej,44.4,46.55
66299,Hulin,45.76667,132.96667
66305,Naran Bulag,44.61667,114.15
66308,Suifenhe,44.38333,131.15
66728,Le Puy,45.08069,3.76289
66731,Montelimar,44.5836,4.74056
68164,Ternej,45.0,136.6
95183,Monteromano,44.1385,11.63583
96209,Canaletto,44.12817,9.846
102232,Monte Generoso,45.93333,9.01667
113083,EW1919 Montepiano (PO) IT,44.09133,11.1605
114978,Aosta Airport,45.73846,7.36872
114979,LIMW,45.74,7.37
115620,Mont Aigoual,44.11667,3.58333
115621,Aubenas,44.53333,4.36667
115622,St-Auban,44.06,5.99139
115831,Kitamiesashi,44.94,142.585
115832,Haboro,44.36167,141.7
116925,Gornergrat,45.98333,7.78333
120285,Bellaria,44.15883,12.454
149879,Tecuci,45.83333,27.4
149894,Bisoca,45.53333,26.7
149895,Banloc,45.38333,21.13333
149903,Corugea,44.73333,28.33333
149904,Jurilovca,44.75,28.86667
149910,Targu Secuiesc,45.98333,26.1
149911,Penteleu,45.6,26.41667
149931,Brasov-ghimbav,45.7,25.53333
149936,Medgidia,44.23333,28.25
149951,Jimbolia,45.78333,20.7
149956,Semenic,45.16667,22.05
149958,Tarcu,45.26667,22.51667
149964,Mahmudia,45.08333,29.06667
149971,Bacles,44.46667,23.1
149990,Fetesti,44.36667,27.85
149992,Balea Lac,45.6,24.61667
150624,Valence-Chabeuil Airport,44.92159,4.9699
153828,Ai-petri,44.43333,34.08333
159196,LFLU,44.91,4.98
163280,F4FAA Puy Saint Martin FR,44.63167,4.97383
164629,Cahul,45.88333,28.23333
171131,FW1189 Promiod IT,45.78583,7.60333
175467,Tuschibek,44.11667,51.93333
175468,Karak,44.88333,63.16667
175486,Tasti,44.8,69.11667
175554,Taldy Kurgan,45.117,78.45
186028,FW4000 Aix les Bains FR,45.702,5.88367
191585,Sain-Bel,45.81677,4.5955
192804,Prnjavor - Avala,44.63254,20.55386
193055,"Izola,oktobrska",45.53544,13.66107
195971,WF Tolmin,45.96803,13.6382
198198,FW7316 San Biagio IT,44.24497,11.95087
522803,Karakapalkija,44.85,56.33333
526856,Ul. Oktavijana Vali&#x107;a,45.33998,14.45233
542728,EW5931 La Tignamica Vaiano IT,44.58233,11.20983
593161,GW3092 Sela Na Krasu,45.82033,13.62633
16501,Cervia Aero,44.2242,12.3072
17248,Rijeka Airport,45.22,14.58
84479,ArcoGarda,45.9161,10.87711
15180,Aero Friuli Venezia,45.82,13.48
184774,Chioggia,45.199,12.276
50942,ALB Aero,45.638,5.8802
51520,Quezzi,44.424,8.977
112360,Lerici,44.07212,9.92311
184767,Bellariva,44.044,12.607
184772,Taglio di Po,44.951,12.296
184773,Punta Gorzone,45.181,12.266
184776,Alberoni,45.355,12.328
184785,San Rocco,45.606,13.763
15181,Riccione Aeroporto,44.0203,12.6117
17243,Zagreb-Pleso,45.73,16.07
49103,Redipuglia,45.844,13.4895
50919,Agen,44.1747,0.5906
63639,Drobeta Turnu Severin,44.61667,22.61667
64951,Beograd / Surcin,44.81667,20.28333
65674,Kazalinsk,45.76667,62.11667
65926,Xi Ujimqin Qi,44.58333,117.6
87340,IZ1PKI Genova IT,44.42617,8.925
115539,Mende,44.53333,3.45
115568,Amberieu,45.98734,5.32845
149922,Stolnici,44.55,24.78333
149969,Moldova Veche,44.71667,21.61667
149970,Harsova,44.68333,27.95
175455,Chiganak,45.1,73.98333
175464,Aul,45.46667,75.21667
180098,IQ1ZW Genova IT,44.41267,8.977
561290,Muggia,45.58685,13.78086
17369,Piran Lighthouse,45.52,13.57
161006,Desenzano,45.46667,10.55
16505,Montichiari,45.4289,10.3306
17546,Albenga,44.0506,8.1274
50741,Ostarije,45.204,15.272
50838,Cres,44.961,14.412
91362,Rivazzurra,44.038,12.598
92566,Marano Lagunare,45.77111,13.16711
112706,Cernik,45.35111,14.49811
181059,Punta Marina - Bagno Baloo,44.45363,12.29158
184784,Trieste,45.642,13.756
5282,Rimini,44.05983,12.55067
16496,Torino-Bric Della Cro,45.03,7.73
16498,Parma Aeroporto,44.82,10.29
17286,Banja Luka,44.78,17.22
50951,Aurillac,44.8914,2.4219
64607,Zagreb Airport,45.74293,16.06878
64952,Veliko Gradiste,44.75,21.51667
65381,Novi Sad Rimski Sancevi,45.33333,19.85
65382,Kikinda,45.85,20.46667
65692,Chiili,44.16667,66.75
66262,Changling,44.25,123.96667
71649,Cerklje Airport,45.9,15.51667
96339,Cima Grappa,45.87333,11.80333
96759,IK1YHX San Pietro Val Lemina IT,44.9039,7.30774
98616,Porto della Valle,44.49217,12.17367
100553,Komsomolskii,45.35,46.03333
115300,IW4EGP Rimini IT,44.05367,12.5195
115537,Montauban,44.03333,1.38333
115842,Mombetsu,44.345,143.355
118734,EW3567 Kukuljanovo HR,45.32467,14.523
149891,Fagaras,45.83333,24.93333
149897,Ramnicu Sarat,45.38333,27.03333
149907,Cernadova,44.33333,28.03333
149930,Boita,45.65,24.26667
149937,Caracal,44.1,24.35
149953,Intorsura Buzaului,45.68333,26.01667
149957,Cuntu,45.3,22.5
150634,EW5770 Genova IT,44.45333,8.97583
151013,IQ1GE Genoa IT,44.416,8.93117
186235,FW0260 Mantova IT,45.117,10.99117
191841,Golfetto&#39;s station,45.41311,12.09999
192376,"Gulia, DB - Dragos Z",44.542,25.86676
200192,&#x443;&#x43B;. &#x41D;&#x43E;&#x440;&#x43C;&#x430;&#x43D;&#x434;&#x441;&#x43A;&#x430;&#x44F;,45.12891,38.92847
540505,Via Morlupo,44.31883,10.82922
578830,Ninske Vodice,44.25484,15.1621
596199,Via Bagni Nuova,45.78558,13.5305
164825,Venezia Lido Aero,45.429,12.3857
568065,Via S. Michele,45.76568,10.82903
51514,Rosolina,45.074,12.234
15663,Lugano-Aeroporto,45.99911,8.9067
16974,Verona,45.38,10.87
50713,Gornji Bogicevci,45.258,17.235
51065,Koper,45.535,13.726
92565,Argenta,44.59101,11.9301
149901,Urziceni,44.71667,26.65
184765,Riccione Alba,44.014,12.646
184769,Cesenatico,44.191,12.412
184777,Isola del Lido,45.385,12.35
184779,Porto Santa Margherita,45.589,12.86
185810,FW1608 Grenoble FR,45.19017,5.62017
601641,Yacht Club Venezia,45.43,12.36
15163,Milano-Malpensa Aeroporto,45.62,8.73
15164,Bergamo,45.6739,9.7042
15178,Treviso,45.6484,12.1944
16375,Monte Malanotte,44.25,7.8
16499,Piacenza,44.92,9.73
16503,Udine-Rivolto,45.9833,13.0333
16504,Ghedi,45.4322,10.2677
17225,Losinj Island,44.57,14.39
17521,Bologna-Borgo Panigal,44.53,11.3
48077,Aeritalia,45.08,7.6
50947,Annecy,45.9292,6.0988
53918,Tuapse,44.1,39.0667
63633,Caransebes,45.42,22.25333
64118,Ogulin,45.26667,15.23333
64130,Sisak,45.5,16.36667
64963,Negotin,44.23333,22.55
65276,Harbin,45.75,126.76667
65278,Karamay,45.61667,84.85
65704,Shangzhi,45.21667,127.96667
65792,Qian Gorlos,45.08333,124.86667
66215,Mineral'nye Vody,44.22507,43.08189
66256,Jinghe,44.6,82.9
68267,Rudnaja Pristan',44.36667,135.85
68310,Astrahanka,44.71667,132.06667
68757,Bilje,45.9,13.63333
68831,Bihac,44.81667,15.88333
84884,DW5164 Rivalta sul Mincio IT,45.17283,10.67633
96569,IZ1KGA-1 Villar Focchiardo IT,45.10433,7.2335
100053,Liman,45.8,47.21667
100057,Nevinnomyssk,44.63333,41.96667
115980,Annecy-meythet,45.93333,6.1
149914,Braila,45.2,27.91667
149915,Oravita,45.03333,21.7
149935,Videle,44.26667,25.53333
149963,Gorgova,45.18333,29.16667
149987,Lugoj,45.68333,21.9
150147,EW5468 Saint-christophe IT,45.7505,7.3425
163963,EW9043 Albinea IT,44.62583,10.609
185311,FW3814 Castronno IT,45.75383,8.81333
188614,DW8487 Ollomont IT,45.86517,7.30167
545434,Perigueux/bassil,45.19805,0.81556
550946,LFBX,45.2,0.82
553851,Contrada Ongaro,45.70295,11.23793
583714,Arzgir,45.4,44.2
627345,Kr&#x10D;mari&#x107;i ul.,45.74987,15.99773
629032,Skva&#x17E;i&#x107;i,45.38008,14.41439
631745,Venezia,45.43262,12.36941
633348,Jurija Gagarina,44.8026,20.39507
634031,GW4692 CAVARIA IT,45.6415,9.06417
635226,Kompolje,45.81388,14.71772
165820,Cogoleto,44.39211,8.65611
165991,Brsec,45.17911,14.23211
165830,Lavagna,44.31311,9.35511
87351,Lago di Como-Lecco,45.82,9.37883
48001,Briancon,44.90752,6.63074
49602,Hautecour,45.4955,6.54467
50710,Starigrad,44.288,15.446
50890,Poljane,45.321,14.263
50893,Rovinj,45.082,13.644
51054,Palcje,45.677,14.254
51513,Modena,44.667,10.912
51519,Sant Ilario,44.383,9.053
51529,Gussago,45.589,10.164
51531,Pastrengo,45.498,10.788
51533,Riva del Garda,45.906,10.843
51535,Pian dei Pradi,45.979,11.237
51540,Castelli Calepio,45.609,9.893
51548,Lipomo,45.794,9.13
51550,Besozzo,45.842,8.673
83892,Stajnica,45.0321,15.2361
84480,Rovereto,45.8961,11.02511
86097,Genova,44.409,8.961
92548,Sori,44.36911,9.11111
112395,San Giuliano a Mare,44.06711,12.57411
112397,Comacchio,44.69311,12.19511
112398,Mezzogoro,44.90611,12.09811
149231,Ancaran,45.58211,13.74111
158491,Umag,45.43111,13.52311
165832,Moneglia,44.24011,9.48611
165955,Borgo San Sergio,45.61811,13.83011
165988,Varone,45.90511,10.84611
184768,Poggio Torriana,44.091,12.534
184782,Marina Primero,45.707,13.467
188529,"Lapoutroie, Alsace",45.15148,7.17001
2839,Crema,45.35717,9.6855
4139,CW7783 Como IT,45.70468,9.03656
4826,Treviso-Castagnole,45.677,12.20867
12756,CW6402 Plats FR,45.006,4.77567
13139,Reggio Emilia,44.6885,10.6325
13404,Castellarano,44.54,10.7455
15165,Torino-Caselle,45.22,7.65
15167,Milano-Linate,45.43,9.28
16379,Ravenna-Punta Marina,44.45021,12.29767
16405,Sarzana-La Spezia,44.0889,9.9889
16497,Novara-Cameri,45.52,8.67
16502,Ferrara,44.83,11.62
16506,Treviso Aeroporto,45.68,12.1
18862,Cuneo-Levaldigi,44.55,7.62
26460,Torino-Barello Moretti,45.23583,7.52667
30817,Tuzla,44.55,18.7
35462,Montecchio Maggiore,45.49667,11.44083
49297,Bertinoro,44.19683,12.18667
49563,Ponte San Nicolo,45.36542,11.92908
50557,Torino-Cenisia,45.0745,7.66283
53243,Craiova,44.32133,23.8095
53377,ITD81,44.8332,116.40019
53381,ITD87,45.69302,113.94835
53415,Stabio,45.85,8.9333
53549,Gourdon,44.75,1.4
53920,Tihoreck,45.85,40.0833
63630,Deva,45.85,22.88333
63636,Ramnicu Valcea,45.08333,24.36667
63640,Bucuresti / Imh,44.5,26.13333
64109,Zagreb/gric,45.81485,15.9719
64110,Zagreb/maksimir,45.82189,16.03386
64113,Daruvar,45.6,17.23333
64119,Gospic,44.55048,15.37318
64134,Pazin,45.23333,13.93333
64949,Sombor,45.76667,19.15
64950,Loznica,44.55,19.23333
64962,Smederevska Palanka,44.36667,20.95
65374,Sremska Mitrovica,45.1,19.55
65383,Valjevo,44.31667,19.91667
65384,Beograd,44.8,20.46667
65385,Kragujevac,44.03333,20.93333
65686,Bakanas,44.83333,76.26667
65687,Zharkent,44.16667,80.06667
65705,Qitai,44.01667,89.56667
65927,Jarud Qi,44.56667,120.9
66212,Divnoe,45.91667,43.35
66227,Budennovsk,44.78333,44.13333
68163,Dal'nerechensk,45.86667,133.73333
68308,Kirovskij,45.08333,133.53333
68309,Pogranichnyj,44.4,131.38333
68832,Bugojno,44.06667,17.46667
68834,Sanski Most,44.76667,16.7
69062,Jajce,44.35,17.26667
69063,Zenica,44.21667,17.9
69064,Gradacac,44.88333,18.43333
70616,Cavagnolo,45.1555,8.048
82411,Settimo Vittone,45.54617,7.83083
82880,DW4811 Chamaliares FR,45.76983,3.06383
87190,Calolziocorte,45.79483,9.46
87287,Marostica,45.77483,11.65917
87515,Dormelletto,45.72599,8.58095
87671,Avio,45.7355,10.938
87879,Blagodarnyj,45.1,43.45
88019,Bottesini,45.3643,9.6847
91727,DW7260 Cuorgne IT,45.42367,7.59583
92338,IZ1ERR Favria IT,45.33333,7.69367
93401,Malborghetto di Boara,44.85617,11.64083
94300,DW8265 Clermont Ferrand FR,45.6445,3.11117
94514,Ca' Barbaro,45.64667,12.267
94737,Oggiona,45.68883,8.809
95358,Vourey,45.323,5.5275
96331,Besate,45.312,8.96833
96628,DW9227 Donnas IT,45.60317,7.77167
96811,Grosuplje,45.95728,14.64805
97754,La Spezia,44.10783,9.82867
98204,Oleggio,45.56833,8.65267
99423,EW0163 Nontron FR,45.5455,0.6655
99582,Padova Aeroporto,45.39577,11.8479
100054,Svetlograd,45.35,42.85
100056,Majkop,44.61667,40.08333
100058,Georgievsk,44.15,43.46667
103183,EW1786 Bologna IT,44.45317,11.37783
110758,EW0690 Bologna IT,44.47967,11.36317
110773,EW0867 Milano IT,45.44717,9.1275
110857,Mestrino,45.4445,11.75467
112034,Soriso,45.74133,8.41133
113952,EW2693 Rimini IT,44.05083,12.56533
115235,EW3012 Livadea RO,45.19333,25.912
115994,Novara / Cameri,45.52959,8.66923
116071,Bologna / Borgo Panigal,44.53544,11.28867
116149,Crnomelj,45.56667,15.15
116169,Punta Marina,44.45,12.3
149878,Focsani,45.7,27.2
149892,Sfantu Gheorghe Covasna,45.86667,25.8
149893,Paltinis Sibiu,45.65,23.93333
149896,Petrosani,45.41667,23.38333
149898,Moraresti,45.0,24.56667
149899,Targu Logresti,44.86667,23.7
149906,Slatina,44.43333,24.35
149912,Obarsia Lotrului,45.43333,23.63333
149913,Predeal,45.5,25.58333
149916,Apa Neagra,45.0,22.85
149917,Polovragi,45.15,23.8
149918,Campina,45.28333,25.75
149919,Pitesti,44.83333,24.85
149920,Ploiesti,44.95,25.98333
149954,Fundata,45.43333,25.26667
149959,Voineasa,45.41667,23.96667
149961,Campulung Muscel,45.26667,25.03333
149962,Sinaia-1500,45.38333,25.5
149965,Targu Jiu,45.03333,23.26667
149966,Curtea De Arges,45.16667,24.66667
149967,Bozovici,44.91667,22.0
149968,Targoviste,44.91667,25.41667
149972,Titu,44.65,25.56667
149989,Baile Herculane,44.88333,22.41667
150478,EW5684 Orbassano IT,44.9995,7.5455
150713,EW5836 Parella IT,45.42883,7.7905
151428,LIPU,45.4,11.85
152521,EW6370 Zagreb HR,45.79867,15.93733
152913,EW6674 Bertiolo IT,45.94117,13.04633
152921,IW2LAO Esine IT,45.9255,10.24717
153842,YO7MGN Beharca RO,44.32019,23.81984
160270,EW8103 Grenoble FR,45.40364,5.37022
162486,IK2YOU-3 Sordio IT,45.34167,9.36383
162957,EW8689 Anse FR,45.93683,4.70917
163555,EW8926 Pozzolo Formigaro IT,44.8,8.79
164349,,45.935,11.745
165306,EW9551 Valencin FR,45.61383,5.0295
169300,FW0391 La Chambre FR,45.362,6.2995
171823,IV3NGF San Lorenzo Isontino IT,45.93,13.527
172611,FW1831 Mompantero IT,45.14417,7.05333
173770,ik3vik Caldogno IT,45.6225,11.51383
174806,FW2433 Ferrara IT,44.82633,11.63783
175484,Lepsinsk,45.53333,80.61667
180621,YO9IPZ-13 Calarasi RO,44.20283,27.31033
184858,IW2HNF-3 Cermenate IT,45.69983,9.08117
184863,FW5260 Lesa IT,45.823,8.55017
185315,FW4018 Krasnodar RU,45.0645,38.93783
