Spot ID,Name,Latitude,Longitude
17152,Kittila,67.7,24.85
66217,Vorkuta,67.483,64.016
4358,Red Dog Dock,67.577,-164.065
7043,HELMUT MTN.,67.7414,-144.1225
7141,GRAPHITE LAKE,67.0333,-143.28329
7154,HODZANA,66.7417,-148.6767
7183,KOYUKUK NWR,66.0083,-157.57001
7325,SELAWIK,66.6033,-159.1125
12589,GOBBLERS KNOB AK US SNOTEL,66.74,-150.67
15108,Kotzebue,66.88,-162.60001
15126,"PADE deering &, ak",66.08,-162.75
15568,Kiruna Airport,67.82,20.33
15633,Mo I Rana-Rossvoll,66.37,14.3
15688,Rovaniemi,66.57,25.83
15768,Shishmaref,66.27,-166.05
15774,Nyac,67.57,-162.98
16624,Kivalina,67.74,-164.53
16792,Selawik,66.6,-159.99001
17104,Bodo,67.27,14.37
17109,Gallivare,67.15,20.65
17601,Coppermine,67.82,-115.15
18478,"CYVM broughton isl ar, nt",67.55,-64.03
19072,"CYUT repulse bay airp, nt",66.53,-86.25
19073,"CYXP pangnirtung airp, nt",66.15,-65.72
19124,"PAIM indian mtn afs, ak",66.0,-153.7
46102,PAIK,66.98,-160.42999
53897,Bolungavik,66.161,-23.2532
62905,Novyj Port,67.68333,72.88333
62906,Tazovskoe,67.46667,78.73333
65445,Mittarfik Sisimiut (holsteinsborg Lufthavn),66.95,-53.71667
65830,Aputiteq Ads (au,67.783,-32.299
65964,Pjalica,66.18333,39.53333
66380,Shojna,67.88333,44.13333
66758,Rost,67.51667,12.1
66911,Ralph Wien Memorial Airport,66.885,-162.59667
67067,Raufarhofn,66.45135,-15.94862
67497,Kugluktuk Climate,67.81667,-115.13333
67534,Pangnirtung,66.15,-65.71667
67608,Rock River,66.98333,-136.21667
68149,Uelen,66.15,-169.83333
68259,Egvekinot,66.35,-179.11667
68638,Shungnak Airport,66.88808,-157.1624
70962,Reipa,66.9,13.63333
86491,TAG MTN AK US,66.1808,-158.66
92115,Nord-Trøndelag Buoy,66.03,8.08
93296,Robert (Bob) Curtis Memorial Airport,66.81753,-161.02226
93348,PFNO,66.82,-161.02
93750,Ellice River,67.71667,-104.46667
94923,MT. NOAK AK US,67.1414,-162.9944
94924,TAHINICHOK AK US,67.5503,-163.5672
95147,Ísafjarðarbaer,66.06,-23.14
96313,Varzuga,66.33333,36.01667
97824,Indiga,67.68333,48.68333
97940,Abramovskij Majak,66.38333,43.25
98364,Nizhnyaya Pesha,66.75,47.76667
98401,Nyda,66.63333,72.96667
99079,Novyi Urengoi,66.06667,76.46667
99620,DEVIL MOUNTAIN AK US,66.2758,-164.53081
100138,IMELYAK AK US,67.5461,-157.0692
100144,SISIAK AK US,67.995,-160.3956
100459,ASIK AK US,67.475,-162.2664
100460,CHIMNEY LAKE AK US,67.7558,-150.4933
100461,KALUICH AK US,67.5733,-158.4317
100463,PAMICHTUK LAKE AK US,67.7719,-152.19501
100464,RAM CREEK AK US,67.6853,-154.4731
115465,Pelkosenniemi Pyhätunturi,67.02152,27.219
115495,Kittilä Sammaltunturi,67.97283,24.11688
115533,Sodankylä Lokka,67.81933,27.74166
116131,Grimsey,66.53333,-18.01667
116927,SALMON RIVER AK US,67.45966,-159.8405
151234,CNCO,67.81,-115.11
151333,CWRR,66.95,-136.27
151334,CZOC,67.57,-139.83
152416,VÃ¦rÃ¸y Heliport,67.6554,12.727
158040,BIGR,66.53,-18.02
159231,ENVR,67.65,12.71
159270,CYVL,67.01,-126.13
159307,CNBI,66.83,-108.01
165044,F21K Alatna River AK US USARRAY,67.2221,-153.483
169359,Thorshofn Airport,66.21845,-15.33563
171147,G19K Purcell Mountains AK US USARRAY,66.1434,-157.08701
171276,E19K Redstone River AK US USARRAY,67.4572,-157.2316
171325,E18K Tukpahlearik Creek AK US USARRAY,67.4213,-160.60271
171329,F18K Selawik AK US USARRAY,66.6001,-159.6514
171985,D17K Noatak River AK US USARRAY,67.6988,-163.0831
186928,Site 6A8WC AK US,66.54942,-152.62965
617541,Coldfoot Airport,67.25217,-150.2039
617542,PACX,67.5,-148.47
52761,Mo I Rana,66.31446,14.1257
7175,Red Dog Mine,67.9297,-162.29581
18867,"CYOC old crow airport, yk",67.57,-139.82001
65444,Sdr Stroemfjord,67.01697,-50.68932
67501,Broughton Isl Ar,67.54583,-64.03139
67602,Old Crow (auto8),67.56667,-139.83333
115454,Kittilä Kenttärova,67.99111,24.24027
115524,Kemijärvi lentokenttä,66.71516,27.16088
157703,Pajala Airport,67.24564,23.06891
171268,F20K Avaraart Lake AK US USARRAY,67.0486,-155.7251
186237,FW0321 Bodo NO,67.2805,14.54917
186940,Site CXFWC AK US,67.25585,-150.19415
603067,PAJALA TG,67.25,23.0666
112695,Holstad,67.25711,15.20911
15777,Fort Yukon,66.57,-144.73
17852,BGSF sdr stroemfjord,67.02,-50.7
18893,"CYGH ft. good hope, nt",66.27,-128.62
67556,Qikiqtarjuaq Climate,67.53333,-64.01667
71588,Muonio,67.96841,23.67683
96310,Moncegorsk,67.96667,32.88333
97835,Okunev Nos,66.25,52.58333
100293,Yarolyin,67.13333,108.53333
15123,"PABT bettles field, ak",66.92,-151.52
18995,Udachnyy,66.4,112.03
46461,Sennvika,67.295,14.73083
62907,Salekhard,66.5908,66.611
65487,Igarka,67.46667,86.56667
65992,Umba,66.68333,34.35
66387,Nar'jan-mar,67.63333,53.03333
66423,Petrun',66.43333,60.76667
66686,Sodankyla,67.36611,26.62972
66688,"Salla kk, paloasema",66.83333,28.67472
96390,Apatitovaya,67.68333,33.25
100005,Bilibino,68.0,166.5
100294,Batagai-Alyta,67.8,130.38333
100297,Eik,66.03333,117.4
115482,Rovaniemi Keskusta,66.498,25.70888
580977,GW2349 BODO NO,67.317,14.54567
619094,Jensvollia,67.2834,14.48849
51252,Jokkmokk,66.609,19.817
6105,Kiana,66.9767,-160.4375
7075,CHALKYITSIK,66.5906,-144.34109
7173,KANUTI NWR,66.0933,-152.17
7190,Little Black,66.0914,-143.3672
7207,Lost Creek,66.0425,-147.97141
7239,Norutak Lake,66.8486,-154.34171
7397,VUNZIK LAKE,66.7981,-146.71581
7399,BEAVER (WBQ),66.2667,-146.51669
11303,FORT YUKON AK US SNOTEL,66.57,-145.25
12286,HOGATZA RIVER,66.2167,-155.6667
13597,JMTA2 Jim River DOT,66.8234,-150.664
13647,KAVET CREEK,67.1375,-159.0461
18940,"CZFM fort mcphrsn arp, nt",67.4,-134.85001
19565,Coldfoot,66.82,-150.63
36016,Alteren,66.305,13.9525
63364,Saint Albans,67.16667,-130.21667
65485,Agata,66.88333,93.46667
65962,Kandalaksha,67.15,32.35
65963,Krasnoscel'e,67.35,37.05
65991,Lovozero,68.0,35.03333
66912,Bettles Field,66.916,-151.509
67397,Fort Good Hope Cs,66.23333,-128.63333
67789,Fort Yukon,66.56667,-145.26667
68146,Ilirnej,67.25,167.96667
68148,En' Muveem,66.38333,173.33333
68228,Verhojansk,67.55,133.38333
68229,Shelagontsy,66.25,114.28333
68230,Zhigansk,66.76667,123.4
68231,Ust'-moma,66.45,143.23333
68248,Sredne-kolymsk,67.45,153.71667
96311,Kanevka,67.13333,39.66667
96312,Kovda,66.7,32.88333
99078,Jangi-Jugan,66.03333,68.68333
100295,Batagai,67.65,134.68333
100298,Ust'-Charky,66.8,136.68333
115479,Rovaniemen mlk Apukka,66.57888,26.01152
151315,CZGH,66.23,-128.64999
151323,CWLG,67.2,-130.22
160509,KANUTI LAKE AK US SCAN,66.18,-151.74001
165326,G27K Doyon Strip AK US USARRAY,66.8088,-141.65491
543916,FW8903 Salo FI,67.53317,24.27517
581713,DAHL CREEK AK US SNOTEL,66.95,-156.89999
